Block Result ProblemSolvingTime TotalTime Nthreads
Block=32 3666 0.217140 0.218079 1
Block=32 3666 0.124687 0.124687 2
Block=32 3666 0.121517 0.121517 3
Block=32 3666 0.088712 0.088712 4
Block=32 3666 0.086432 0.086432 5
Block=32 3666 0.080225 0.080225 6
Block=32 3666 0.07795 0.07795 7
Block=32 3666 0.061179 0.061179 8
Block=35 3666 0.2745 0.2745 1
Block=35 3666 0.1402 0.1402 2
Block=35 3666 0.126 0.126  3
Block=35 3666 0.121 0.121 4
Block=35 3666 0.092 0.092 5
Block=35 3666 0.086 0.086 6
Block=35 3666 0.068 0.068 7
Block=35 3666 0.069 0.067 8
